"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"MDLZ","SUCCESS","99.14125161710531",1,"MDLZ_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Mondelez International Inc"
"MU","SUCCESS","96.6030706019307",1,"MU_1d_min_support_bearish.png","2024-02-22","STOCK","1d","Micron Technology Inc"
"CVS","SUCCESS","94.22656602131835",1,"CVS_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","CVS Health Corp"
"ABNB","SUCCESS","90.84941640827255",1,"ABNB_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Airbnb Inc"
"DUK","SUCCESS","73.64921347924056",1,"DUK_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Duke Energy Corp"
"NOC","SUCCESS","70.94490437202857",1,"NOC_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Northrop Grumman Corp"
"GLD","SUCCESS","58.2740992",1,"GLD_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","SPDR Gold Shares"
"ECL","SUCCESS","56.990893939760355",1,"ECL_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Ecolab Inc"
"APO","SUCCESS","56.153922234330494",1,"APO_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Apollo Global Management Inc"
"EMR","SUCCESS","54.10818885925672",2,"EMR_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Emerson Electric Co"
"MET","SUCCESS","50.99170700611016",1,"MET_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","MetLife Inc"
"FTNT","SUCCESS","46.765694946433804",1,"FTNT_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Fortinet Inc"
"SPG","SUCCESS","46.270536174",1,"SPG_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Simon Property Group Inc"
"F","SUCCESS","44.83308802038217",2,"F_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Ford Motor Co"
"HES","SUCCESS","42.17904845411683",1,"HES_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Hess Corp"
"AEP","SUCCESS","40.8605617839821",2,"AEP_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","American Electric Power Company Inc"
"CNC","SUCCESS","39.61100252857377",2,"CNC_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Centene Corp"
"IBKR","SUCCESS","37.80085261200879",1,"IBKR_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Interactive Brokers Group Inc"
"YUM","SUCCESS","37.08478041221907",1,"YUM_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Yum! Brands Inc"
"LVS","SUCCESS","37.073307539452635",1,"LVS_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Las Vegas Sands Corp"
"JCI","SUCCESS","36.88571348754817",1,"JCI_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Johnson Controls International PLC"
"PLTR","SUCCESS","36.513107057543905",3,"PLTR_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Palantir Technologies Inc"
"ROK","SUCCESS","34.76982870071264",1,"ROK_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Rockwell Automation Inc"
"GEHC","SUCCESS","33.73805577850272",1,"GEHC_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","GE Healthcare Technologies Inc"
"TTD","SUCCESS","32.776365274458875",1,"TTD_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Trade Desk Inc"
"RCL","SUCCESS","32.54185832547095",1,"RCL_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Royal Caribbean Cruises Ltd"
"CMI","SUCCESS","32.48933919409126",1,"CMI_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Cummins Inc"
"IR","SUCCESS","31.930384846696334",1,"IR_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Ingersoll Rand Inc"
"DD","SUCCESS","31.68553062743496",1,"DD_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Dupont De Nemours Inc"
"VEEV","SUCCESS","30.99873312207536",1,"VEEV_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Veeva Systems Inc"
"CDW","SUCCESS","30.336665888244948",1,"CDW_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","CDW Corp"
"VMC","SUCCESS","30.04001712914712",1,"VMC_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Vulcan Materials Co"
"LSXMK","SUCCESS","27.99763998559464",1,"LSXMK_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Liberty Media Corp"
"TTWO","SUCCESS","27.738030062441506",2,"TTWO_1d_avg_support_bearish_min_support_bearish.png","2024-02-22","STOCK","1d","Take-Two Interactive Software Inc"
"NET","SUCCESS","27.315038394708825",3,"NET_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Cloudflare Inc"
"FANG","SUCCESS","27.037461353618934",3,"FANG_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Diamondback Energy Inc"
"BR","SUCCESS","24.104701784085773",1,"BR_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Broadridge Financial Solutions Inc"
"RJF","SUCCESS","23.40191067758557",1,"RJF_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Raymond James Financial Inc"
"TW","SUCCESS","22.992729404773538",1,"TW_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Tradeweb Markets Inc"
"ULTA","SUCCESS","22.948715525680736",1,"ULTA_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Ulta Beauty Inc"
